PARAMETERNAMN,PROV_BERED,PROVKARL,ANALYS_MET,ACKREDITERAD_MET,ANALYS_INSTR,LABB
Längd,EJ_REL,EJ_REL,EJ_REL,Vet_ej,LINJAL,NRM
Längd (medelvärde),EJ_REL,EJ_REL,EJ_REL,Vet_ej,LINJAL,NRM
Vikt,EJ_REL,EJ_REL,EJ_REL,Vet_ej,VAG,NRM
Vikt (medelvärde),EJ_REL,EJ_REL,EJ_REL,Vet_ej,VAG,NRM
Ålder,EJ_REL,EJ_REL,SAKNAS,Vet_ej,Stereomikroskop,NRM
Ålder (medelvärde),EJ_REL,EJ_REL,SAKNAS,Vet_ej,Stereomikroskop,NRM
Silver,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,ACES
Aluminium,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,ACES
Arsenik,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,ACES
Kadmium,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,ACES
Krom,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,ACES
Koppar,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,ACES
Nickel,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,ACES
Bly,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,ACES
Selen,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Nej,ICPMS,ACES
Tenn,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Nej,ICPMS,ACES
Zink,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Ja,ICPMS,ACES
Antimon,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Nej,ICPMS,ACES
Vismut,SS-EN13805-2009,PLAST,"SS-EN 13805, SS-EN ISO 17294-2",Nej,ICPMS,ACES
PBDE47,ACHEXDEE,GLAS,Bromanalys5,Nej,GC-MS,ACES
PBDE99,ACHEXDEE,GLAS,Bromanalys5,Nej,GC-MS,ACES
PBDE100,ACHEXDEE,GLAS,Bromanalys5,Nej,GC-MS,ACES
PBDE153,ACHEXDEE,GLAS,Bromanalys5,Nej,GC-MS,ACES
PBDE154,ACHEXDEE,GLAS,Bromanalys5,Nej,GC-MS,ACES
HBCD,ACHEXDEE,GLAS,Bromanalys5,Nej,GC-MS,ACES
Hexaklorbensen,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
alfa-HCH,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
beta-HCH,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
Lindan,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
DDE,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
DDD,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
DDT,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
PCB28,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
PCB52,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
PCB101,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
PCB118,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
PCB153,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
PCB138+PCB163,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
PCB180,ACHEXDEE,GLAS,GC/ECD-PCB/OCP-3,Ja,GC-ECD,ACES
"2,3,7,8-TCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
"1,2,3,7,8-PeCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
"1,2,3,4,7,8-HxCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
"1,2,3,6,7,8-HxCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
"1,2,3,7,8,9-HxCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
"1,2,3,4,6,7,8-HpCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
"1,2,3,4,6,7,8,9-OCDD",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
"2,3,7,8-TCDF",ACHEXHEXE,PLAST,"Dioxiner, pPCB",Ja,GC-HRMS,UMU_KEM_INST
